FILE,RIGA APPROX,CODICE DA RIMUOVERE,MOTIVO,ADATTAMENTO FXML/CSS
TakeOrderView.fxml,13,"Label fx:id=\"lblSubtitle\" style=\"-fx-font-size: 14px; -fx-text-fill: #888;\"","Style inline sottotitolo","Rimuovi style, usa styleClass=\"text-muted-small\""
TakeOrderView.fxml,14,"Label fx:id=\"lblTitle\" style=\"-fx-font-size: 22px; -fx-font-weight: bold;\"","Style inline titolo","Rimuovi style, usa styleClass=\"takeorder-title\" + CSS"
TakeOrderView.fxml,21,"Button onAction=\"#handleCancel\" style=\"-fx-background-color: #E02E2E; -fx-text-fill: white;\"","Style inline pulsante Cancel","Rimuovi style, usa styleClass=\"btn-danger\" + CSS"
TakeOrderView.fxml,35,"ScrollPane fx:id=\"scrollPane\" style=\"-fx-background-color: transparent;\"","Style inline scrollpane","Rimuovi style, aggiungi styleClass=\"transparent-scrollpane\""
TakeOrderView.fxml,49,"Button fx:id=\"btnSend\" style=\"-fx-font-size: 16px; -fx-font-weight: bold;\"","Style inline testo bottone","Rimuovi style, aggiungi a CSS nella classe .dashboard-btn o una nuova .btn-send"
OrderRowItem.fxml,12,"HBox style=\"-fx-border-color: #EEE; -fx-border-width: 0 0 1 0; -fx-background-color: white; -fx-cursor: hand; -fx-padding: 12;\"","Style inline riga ordine","Rimuovi style e usa styleClass=\"order-row-item\" + CSS"
OrderRowItem.fxml,19,"Label fx:id=\"lblTitle\" style=\"-fx-font-size: 16px; -fx-font-weight: bold; -fx-text-fill: #333;\"","Style inline titolo","Rimuovi style, usa styleClass=\"order-row-title\" + CSS"
OrderRowItem.fxml,24,"Label fx:id=\"lblSubtitle\" style=\"-fx-font-size: 13px; -fx-text-fill: #666;\"","Style inline sottotitolo","Rimuovi style, usa styleClass=\"order-row-subtitle\" + CSS"
OrderRowItem.fxml,33,"Label text=\"›\" style=\"-fx-font-size: 24px; -fx-text-fill: #2ecc71; -fx-padding: 0 10 0 0;\"","Style inline freccia","Rimuovi style, usa styleClass=\"order-row-arrow\" + CSS"
OrderRow.fxml,12,"HBox style=\"-fx-border-color: #EEE; -fx-border-width: 0 0 1 0; -fx-background-color: white; -fx-cursor: hand;\"","Style inline HBox","Rimuovi style e usa styleClass=\"order-row\" + CSS"
OrderRow.fxml,18,"Label fx:id=\"lblTitle\" style=\"-fx-font-size: 16px; -fx-text-fill: #333;\"","Style inline label","Rimuovi style, usa styleClass=\"order-row-title\""
OrderRow.fxml,20,"Label fx:id=\"lblSubtitle\" style=\"-fx-font-size: 14px; -fx-text-fill: #888;\"","Style inline label","Rimuovi style, usa styleClass=\"order-row-subtitle\""
OrderRow.fxml,27,"Label text=\"...\" style=\"-fx-font-size: 20px; -fx-text-fill: #555; -fx-padding: 0 10 0 0;\"","Style inline ellipsis","Rimuovi style, usa styleClass=\"order-row-ellipsis\""
OrderRowItemController.java,32,"STYLE_NORMAL/STYLE_HOVER/STYLE_SELECTED stringhe CSS","Stili definiti in costanti Java","Sposta in CSS (.order-row-item, .order-row-item:hover, .order-row-item.selected) e in controller cambia solo styleClass"
OrderRowItemController.java,104,"root.setStyle(STYLE_SELECTED/STYLE_NORMAL)","Stile via codice","Usa root.getStyleClass().setAll(\"order-row-item\", isSelected ? \"selected\" : \"normal\"); con CSS"
OrderRowItemController.java,135,"root.setStyle(STYLE_HOVER)","Hover via codice","Gestisci hover con CSS :hover, senza cambiare style da Java"
OrderRowController.java,63,"root.setStyle(\"-fx-border-color: #EEE; ... -fx-background-color: #F9F9F9; -fx-cursor: hand;\")","Hover via codice","Rimuovi onHover/onExit, usa CSS .order-row:hover { background-color: #F9F9F9; }"
OrderRowController.java,71,"root.setStyle(\"-fx-border-color: #EEE; ... -fx-background-color: white; -fx-cursor: hand;\")","Reset stile via codice","Stile base in CSS per .order-row"
ProductDetail.fxml,11,"BorderPane style=\"-fx-background-color: white;\"","Style inline root","Rimuovi style, usa styleClass=\"product-detail-root\" + CSS"
ProductDetail.fxml,20,"Label fx:id=\"lblBack\" style=\"-fx-text-fill: #888; -fx-cursor: hand; -fx-font-size: 14px;\"","Style inline back-link","Rimuovi style, usa styleClass=\"back-link\" (già definita in CSS globale)"
ProductDetail.fxml,21,"Label fx:id=\"lblName\" style=\"-fx-font-size: 32px; -fx-font-weight: bold; -fx-text-fill: #222;\"","Style inline titolo","Rimuovi style, usa styleClass=\"product-title\" + CSS"
ProductDetail.fxml,29,"Button fx:id=\"btnEdit\" style=\"-fx-background-color: #E3F2FD; -fx-text-fill: #1976D2; -fx-background-radius: 8; -fx-cursor: hand; -fx-padding: 8 15;\"","Style inline bottone edit","Rimuovi style, usa styleClass=\"btn-edit\" + CSS"
ProductDetail.fxml,35,"Button fx:id=\"btnDelete\" style=\"-fx-background-color: #FFEBEE; -fx-text-fill: #D32F2F; -fx-background-radius: 8; -fx-cursor: hand; -fx-padding: 8 15;\"","Style inline bottone delete","Rimuovi style, usa styleClass=\"btn-delete\" + CSS"
ProductDetailController.java,82,"lblTitle.setStyle(\"-fx-font-size: 16px; -fx-text-fill: #555;\")","Stile via codice semplice row","Sposta in CSS .pd-row-title e in FXML usa styleClass invece di setStyle"
ProductDetailController.java,89,"lblValue.setStyle(\"-fx-font-size: 16px; -fx-text-fill: #222; -fx-font-weight: 500;\")","Stile via codice","Sposta in CSS (.pd-row-value)"
ProductDetailController.java,108,"lblTitle.setStyle(\"-fx-font-size: 16px; -fx-text-fill: #222; -fx-font-weight: bold;\")","Stile via codice complesso","CSS: .pd-complex-title"
ProductDetailController.java,111,"lblSub.setStyle(\"-fx-font-size: 13px; -fx-text-fill: #888; -fx-line-spacing: 2px;\")","Stile via codice descrizione","CSS: .pd-complex-subtitle"
ProductDetailController.java,139,"lblValue.setStyle(\"-fx-font-size: 22px; -fx-text-fill: #222; -fx-font-weight: bold;\")","Stile via codice valore grande","CSS: .pd-complex-value"
ProductDetailController.java,191,"separator.setStyle(\"-fx-background-color: #EEEEEE;\")","Stile separator via codice","CSS: .pd-separator { -fx-background-color: #EEEEEE; } e usa styleClass sull'oggetto Separator"
ProductDetailController.java,225,"lblBack.setOnMouseEntered/Exited con setStyle(...)","Hover back via codice","Usa solo styleClass=\"back-link\" e CSS .back-link:hover { ... }"
WaiterController.java,59,"card.setStyle(\"-fx-background-color: white; -fx-background-radius: 12; -fx-padding: 15; -fx-max-width: 300;\")","Style card via codice","Crea classe .waiter-notification-card in CSS e applicala via FXML o root.getStyleClass().add"
WaiterController.java,70,"title.setStyle(\"-fx-font-weight: bold; -fx-font-size: 14px; -fx-text-fill: #333;\")","Stile via codice","CSS: .waiter-notification-title"
WaiterController.java,83,"more.setStyle(\"-fx-text-fill: #888; -fx-font-size: 11px;\")","Stile via codice","CSS: .waiter-notification-more"
WaiterController.java,89,"itemLbl.setStyle(\"-fx-text-fill: #555; -fx-font-size: 13px;\")","Stile via codice","CSS: .waiter-notification-item"
WaiterController.java,100,"btnDelivered.setStyle(\"-fx-background-color: #2B2B2B; -fx-text-fill: white; -fx-font-weight: bold; -fx-background-radius: 8; -fx-cursor: hand;\")","Stile via codice bottone","CSS: .waiter-delivered-btn"
WaiterController.java,141,"itemLogout.setStyle(\"-fx-text-fill: red; -fx-font-weight: bold;\")","Stile via codice voce logout","CSS: .context-menu .menu-item.logout-item { -fx-text-fill: red; -fx-font-weight: bold; } e applica styleClass alla voce"
WaiterController.java,165,"txtTable.setStyle(\"-fx-border-color: #DDD;\")","Reset bordo via codice","Gestisci valid/invalid via classi CSS (es. .table-input-error) e aggiungi/rimuovi styleClass"
WaiterController.java,173,"txtTable.setStyle(\"-fx-border-color: red; -fx-border-width: 2;\")","Errore via codice","CSS: .table-input-error { -fx-border-color: red; -fx-border-width: 2; } e usa styleClass"

